id,review_text,sentiment,sentiment_score,tokens,polarity_words
2478,The monitor offers a moderate balance between performance and usability.,neutral,0.1,the monitor offers a moderate balance between performance and usability,
2479,"Using this bottle has been intuitive, impressive, and fantabulous so far, and it fits perfectly into my office routine.",positive,0.644,using this bottle has been intuitive impressive and fantabulous so far and it fits perfectly into my office routine,intuitive impressive fantabulous
2480,"My experience with this laptop has been garbage and worthless, and I can't recommend it.",negative,-0.497,my experience with this laptop has been garbage and worthless and i can't recommend it,garbage worthless recommend
2481,Nothing special here: the stand works in a average way for daily use.,neutral,0.001,nothing special here: the stand works in a average way for daily use,
2482,The overall build quality and feel of this power bank are robust and incredible; totally a solid pick.,positive,0.917,the overall build quality and feel of this power bank are robust and incredible; totally a solid pick,robust solid
2483,"From the first day, this mic felt frustrating, horrible, weak, and overheating, and it never improved.",negative,-0.6,from the first day this mic felt frustrating horrible weak and overheating and it never improved,frustrating horrible weak overheating
2484,"In short, this tablet is moderate; a typical, ordinary option.",neutral,0.036,in short this tablet is moderate; a typical ordinary option,
2485,"For the price, this tablet is wonderful and versatile; I'd gladly buy it again.",positive,0.592,for the price this tablet is wonderful and versatile; i'd gladly buy it again,wonderful
2486,"I found the fan to be weak, slow, bad, and dissatisfied, making everyday use really stressful.",negative,-0.878,i found the fan to be weak slow bad and dissatisfied making everyday use really stressful,weak slow bad dissatisfied
2487,"Overall, the power bank feels okay; nothing too impressive or too bad.",neutral,0.041,overall the power bank feels okay; nothing too impressive or too bad,impressive bad
2488,"Honestly, I'm very happy with this phone – beautiful and durable, and a joy to use every day.",positive,0.63,honestly i'm very happy with this phone – beautiful and durable and a joy to use every day,happy beautiful durable
2489,"This adapter was a unreliable, uncomfortable, broken, and poor purchase; I honestly strongly regret buying it.",negative,-0.993,this adapter was a unreliable uncomfortable broken and poor purchase; i honestly strongly regret buying it,unreliable uncomfortable broken poor regret
2490,"The display of this adapter is average, so it's acceptable for regular use.",neutral,0.106,the display of this adapter is average so it's acceptable for regular use,
2491,The overall battery life and feel of this lamp are fantabulous and worthwhile; totally a great deal.,positive,0.839,the overall battery life and feel of this lamp are fantabulous and worthwhile; totally a great deal,fantabulous great
2492,"From the first day, this camera felt laggy, frustrating, overheating, and awful, and it never improved.",negative,-0.723,from the first day this camera felt laggy frustrating overheating and awful and it never improved,laggy frustrating overheating awful
2493,"The performance of this bottle is okay, so it's acceptable for regular use.",neutral,0.014,the performance of this bottle is okay so it's acceptable for regular use,
2494,"For the price, this case is perfect, solid, and robust; I'd gladly buy it again.",positive,0.88,for the price this case is perfect solid and robust; i'd gladly buy it again,perfect solid
2495,"If you're thinking of buying this mouse, it's fake, inconsistent, and noisy; I would am considering replacing it.",negative,-0.936,if you're thinking of buying this mouse it's fake inconsistent and noisy; i would am considering replacing it,fake inconsistent
2496,"In short, this case is fine; a typical, ordinary option.",neutral,-0.069,in short this case is fine; a typical ordinary option,
2497,"I didn't expect much, but this tablet is recommend, amazing, robust, and premium, so I plan to stick with this brand.",positive,0.614,i didn't expect much but this tablet is recommend amazing robust and premium so i plan to stick with this brand,recommend amazing robust premium
2498,"This stand was a horrible, unacceptable, cheap, and noisy purchase; I honestly regret buying it.",negative,-0.9,this stand was a horrible unacceptable cheap and noisy purchase; i honestly regret buying it,horrible unacceptable cheap noisy regret
2499,"The battery life of this fan is average, so it's acceptable for regular use.",neutral,0.063,the battery life of this fan is average so it's acceptable for regular use,
2500,"I didn't expect much, but this watch is incredible, flawless, and cool, so I plan to stick with this brand.",positive,0.522,i didn't expect much but this watch is incredible flawless and cool so i plan to stick with this brand,incredible flawless cool
2501,"For the cost, this charger feels complicated, crashed, trash, and bad; it's simply not acceptable.",negative,-0.986,for the cost this charger feels complicated crashed trash and bad; it's simply not acceptable,complicated crashed trash
2502,"For everyday use, this cable is average and mostly meets basic expectations.",neutral,0.025,for everyday use this cable is average and mostly meets basic expectations,
2503,"In short, the adapter's display is fantabulous, convenient, and versatile, and that alone makes it a solid pick.",positive,0.804,in short the adapter's display is fantabulous convenient and versatile and that alone makes it a solid pick,fantabulous convenient versatile solid
2504,"I found the tablet to be flimsy, worst, buggy, and slow, making everyday use really time-consuming.",negative,-0.487,i found the tablet to be flimsy worst buggy and slow making everyday use really time-consuming,flimsy worst buggy slow
2505,"In short, this router is decent; a typical, ordinary option.",neutral,0.035,in short this router is decent; a typical ordinary option,
2506,"This tablet turned out surprisingly great, happy, and high-quality; I'm super impressed with it.",positive,0.423,this tablet turned out surprisingly great happy and high-quality; i'm super impressed with it,great happy
2507,"If you're thinking of buying this watch, it's draining, defective, and unhappy; I would suggest avoiding it.",negative,-0.638,if you're thinking of buying this watch it's draining defective and unhappy; i would suggest avoiding it,draining defective
2508,"The battery life of this case is average, so it's acceptable for regular use.",neutral,0.003,the battery life of this case is average so it's acceptable for regular use,
2509,"This tablet turned out genuinely top-notch, stable, and excellent; I'm super impressed with it.",positive,0.619,this tablet turned out genuinely top-notch stable and excellent; i'm super impressed with it,top-notch stable
2510,"For the cost, this bottle feels unacceptable and complicated; it's simply not acceptable.",negative,-0.55,for the cost this bottle feels unacceptable and complicated; it's simply not acceptable,unacceptable
2511,"From what I've seen, this speaker performs in a average manner without major issues.",neutral,0.063,from what i've seen this speaker performs in a average manner without major issues,
2512,"Using this bottle has been stylish, delightful, great, and handy so far, and it fits perfectly into my home routine.",positive,0.828,using this bottle has been stylish delightful great and handy so far and it fits perfectly into my home routine,stylish delightful great handy
2513,"My experience with this lamp has been annoying, flimsy, draining, and unhappy, and I would not buy again.",negative,-0.951,my experience with this lamp has been annoying flimsy draining and unhappy and i would not buy again,annoying flimsy draining unhappy
2514,This router is generally okay; it does the job without standing out.,neutral,0.067,this router is generally okay; it does the job without standing out,
2515,"From unboxing to daily use, this headphones feels fast, flawless, and beautiful; recommend it to friends.",positive,0.667,from unboxing to daily use this headphones feels fast flawless and beautiful; recommend it to friends,fast flawless recommend
2516,"This camera was a annoying, garbage, and overheating purchase; I honestly regret buying it.",negative,-0.776,this camera was a annoying garbage and overheating purchase; i honestly regret buying it,annoying garbage overheating regret
2517,This earbuds is generally average; it does the job without standing out.,neutral,-0.005,this earbuds is generally average; it does the job without standing out,
2518,"The overall battery life and feel of this adapter are cool, terrific, and amazing; totally a reliable option.",positive,0.587,the overall battery life and feel of this adapter are cool terrific and amazing; totally a reliable option,cool terrific reliable
2519,"The overall build quality of this speaker is confusing, mediocre, fragile, and trash, and that ruined it for me.",negative,-0.591,the overall build quality of this speaker is confusing mediocre fragile and trash and that ruined it for me,confusing mediocre fragile trash
2520,Nothing special here: the printer works in a decent way for daily use.,neutral,-0.025,nothing special here: the printer works in a decent way for daily use,
2521,"As a frequent user, I find this keyboard beautiful, satisfying, and handy, which makes my life more enjoyable.",positive,0.599,as a frequent user i find this keyboard beautiful satisfying and handy which makes my life more enjoyable,beautiful satisfying handy
2522,"The router has been mediocre and unreliable in almost every way, which is extremely frustrating.",negative,-0.895,the router has been mediocre and unreliable in almost every way which is extremely frustrating,mediocre unreliable frustrating
2523,Nothing special here: the speaker works in a average way for daily use.,neutral,0.103,nothing special here: the speaker works in a average way for daily use,
2524,"As a frequent user, I find this headphones incredible, robust, and impressive, which makes my life more convenient.",positive,0.917,as a frequent user i find this headphones incredible robust and impressive which makes my life more convenient,incredible robust impressive convenient
2525,"In summary, the power bank's sound is broken, uncomfortable, and glitchy, making it a disappointing choice.",negative,-0.676,in summary the power bank's sound is broken uncomfortable and glitchy making it a disappointing choice,broken uncomfortable glitchy disappointing
2526,"In short, this laptop is fine; a typical, ordinary option.",neutral,-0.114,in short this laptop is fine; a typical ordinary option,
2527,"I didn't expect much, but this phone is efficient, intuitive, brilliant, and solid, so I would pick it again.",positive,0.464,i didn't expect much but this phone is efficient intuitive brilliant and solid so i would pick it again,efficient intuitive brilliant solid
2528,"After a few days of use, this phone became useless and terrible; I am not happy with now.",negative,-0.418,after a few days of use this phone became useless and terrible; i am not happy with now,useless happy
2529,"The sound of this camera is average, so it's acceptable for regular use.",neutral,-0.096,the sound of this camera is average so it's acceptable for regular use,
2530,"Using this backpack has been amazing, versatile, love, and worthwhile so far, and it fits perfectly into my gaming routine.",positive,0.867,using this backpack has been amazing versatile love and worthwhile so far and it fits perfectly into my gaming routine,amazing versatile love worthwhile
2531,"In summary, the earbuds's display is heating, fake, and fragile, making it a unwise choice.",negative,-0.938,in summary the earbuds's display is heating fake and fragile making it a unwise choice,heating fake fragile
2532,"Overall, the mouse feels okay; nothing too impressive or too bad.",neutral,-0.055,overall the mouse feels okay; nothing too impressive or too bad,impressive bad
2533,"As a frequent user, I find this headphones pleased and delightful, which makes my life easier.",positive,0.466,as a frequent user i find this headphones pleased and delightful which makes my life easier,pleased delightful
2534,"My experience with this stand has been pathetic and heating, and I am considering replacing it.",negative,-0.542,my experience with this stand has been pathetic and heating and i am considering replacing it,pathetic heating
2535,"From what I've seen, this speaker performs in a moderate manner without major issues.",neutral,-0.084,from what i've seen this speaker performs in a moderate manner without major issues,
2536,"This lamp turned out honestly high-quality, incredible, delightful, and pleased; I'm super impressed with it.",positive,0.38,this lamp turned out honestly high-quality incredible delightful and pleased; i'm super impressed with it,high-quality incredible delightful
2537,"From the first day, this keyboard felt slow and horrible, and it never improved.",negative,-0.79,from the first day this keyboard felt slow and horrible and it never improved,slow horrible
2538,The case offers a okay balance between battery life and comfort.,neutral,-0.072,the case offers a okay balance between battery life and comfort,
2539,"From unboxing to daily use, this lamp feels fast, stellar, and user-friendly; recommend it to friends.",positive,0.499,from unboxing to daily use this lamp feels fast stellar and user-friendly; recommend it to friends,fast stellar recommend
2540,"This adapter was a hateful, trash, useless, and frustrating purchase; I honestly strongly regret buying it.",negative,-0.456,this adapter was a hateful trash useless and frustrating purchase; i honestly strongly regret buying it,hateful trash useless frustrating regret
2541,"The sound of this stand is fine, so it's acceptable for regular use.",neutral,0.115,the sound of this stand is fine so it's acceptable for regular use,
2542,"From unboxing to daily use, this tablet feels awesome and love; think it offers great value.",positive,0.972,from unboxing to daily use this tablet feels awesome and love; think it offers great value,awesome great
2543,"This mouse was a confusing, slow, and inconsistent purchase; I honestly strongly regret buying it.",negative,-0.565,this mouse was a confusing slow and inconsistent purchase; i honestly strongly regret buying it,confusing slow inconsistent regret
2544,"The sound of this charger is average, so it's acceptable for regular use.",neutral,-0.083,the sound of this charger is average so it's acceptable for regular use,
2545,"From unboxing to daily use, this power bank feels cool, recommend, and incredible; recommend it to friends.",positive,0.797,from unboxing to daily use this power bank feels cool recommend and incredible; recommend it to friends,cool recommend recommend
2546,"My experience with this fan has been worthless and garbage, and I suggest avoiding it.",negative,-0.506,my experience with this fan has been worthless and garbage and i suggest avoiding it,worthless garbage
2547,"The display of this watch is average, so it's acceptable for regular use.",neutral,-0.098,the display of this watch is average so it's acceptable for regular use,
2548,"If you need a cable, this one is recommend, durable, and delightful; I a solid pick.",positive,0.952,if you need a cable this one is recommend durable and delightful; i a solid pick,recommend durable solid
2549,"The overall display of this power bank is useless, weak, and overpriced, and that ruined it for me.",negative,-0.697,the overall display of this power bank is useless weak and overpriced and that ruined it for me,useless weak overpriced
2550,"The design of this camera is decent, so it's acceptable for regular use.",neutral,-0.115,the design of this camera is decent so it's acceptable for regular use,
2551,"In short, the stand's display is superb and beautiful, and that alone makes it a reliable option.",positive,0.968,in short the stand's display is superb and beautiful and that alone makes it a reliable option,superb beautiful reliable
2552,"If you're thinking of buying this keyboard, it's cheap and inconsistent; I would suggest avoiding it.",negative,-0.426,if you're thinking of buying this keyboard it's cheap and inconsistent; i would suggest avoiding it,cheap
2553,"The battery life of this speaker is decent, so it's acceptable for regular use.",neutral,0.046,the battery life of this speaker is decent so it's acceptable for regular use,
2554,"Using this earbuds has been durable, perfect, affordable, and robust so far, and it fits perfectly into my home routine.",positive,0.812,using this earbuds has been durable perfect affordable and robust so far and it fits perfectly into my home routine,durable perfect affordable robust
2555,"After a few days of use, this charger became worthless, broken, draining, and misleading; I hate now.",negative,-0.363,after a few days of use this charger became worthless broken draining and misleading; i hate now,worthless broken draining
2556,"Overall, the camera feels average; nothing too impressive or too bad.",neutral,0.041,overall the camera feels average; nothing too impressive or too bad,impressive bad
2557,"For the price, this laptop is affordable, solid, and valuable; I'd gladly buy it again.",positive,0.934,for the price this laptop is affordable solid and valuable; i'd gladly buy it again,affordable solid
2558,This camera was a annoying and mediocre purchase; I honestly strongly regret buying it.,negative,-0.418,this camera was a annoying and mediocre purchase; i honestly strongly regret buying it,annoying mediocre regret
2559,The bottle offers a okay balance between overall quality and durability.,neutral,-0.051,the bottle offers a okay balance between overall quality and durability,
2560,"As a frequent user, I find this laptop wonderful, solid, terrific, and incredible, which makes my life more convenient.",positive,0.453,as a frequent user i find this laptop wonderful solid terrific and incredible which makes my life more convenient,wonderful solid terrific incredible convenient
2561,"The printer has been uncomfortable, garbage, laggy, and hateful in almost every way, which is extremely time-consuming.",negative,-0.559,the printer has been uncomfortable garbage laggy and hateful in almost every way which is extremely time-consuming,uncomfortable garbage laggy hateful
2562,"The design of this speaker is fine, so it's acceptable for regular use.",neutral,0.021,the design of this speaker is fine so it's acceptable for regular use,
2563,"If you need a earbuds, this one is pleased, recommend, and incredible; I a great deal.",positive,0.978,if you need a earbuds this one is pleased recommend and incredible; i a great deal,pleased recommend great
2564,"From the first day, this headphones felt cheap, awful, and inconsistent, and it never improved.",negative,-0.816,from the first day this headphones felt cheap awful and inconsistent and it never improved,cheap awful inconsistent
2565,The bottle offers a moderate balance between sound and reliability.,neutral,-0.094,the bottle offers a moderate balance between sound and reliability,
2566,"In short, the watch's build quality is intuitive, stellar, awesome, and pleased, and that alone makes it a reliable option.",positive,0.478,in short the watch's build quality is intuitive stellar awesome and pleased and that alone makes it a reliable option,intuitive stellar awesome pleased reliable
2567,"If you're thinking of buying this tablet, it's inconsistent and annoying; I would wish I had returned it.",negative,-0.39,if you're thinking of buying this tablet it's inconsistent and annoying; i would wish i had returned it,inconsistent
2568,"The performance of this stand is okay, so it's acceptable for regular use.",neutral,0.035,the performance of this stand is okay so it's acceptable for regular use,
2569,"From unboxing to daily use, this router feels fast and recommend; feel it was a smart choice.",positive,0.791,from unboxing to daily use this router feels fast and recommend; feel it was a smart choice,fast
2570,"The mouse has been dissatisfied, fragile, defective, and confusing in almost every way, which is extremely time-consuming.",negative,-0.526,the mouse has been dissatisfied fragile defective and confusing in almost every way which is extremely time-consuming,dissatisfied fragile defective confusing
2571,"From what I've seen, this laptop performs in a fine manner without major issues.",neutral,0.054,from what i've seen this laptop performs in a fine manner without major issues,
2572,"I didn't expect much, but this charger is cool and durable, so I recommend it to friends.",positive,0.993,i didn't expect much but this charger is cool and durable so i recommend it to friends,cool durable recommend
2573,"I found the mouse to be ugly, heating, and flimsy, making everyday use really time-consuming.",negative,-0.662,i found the mouse to be ugly heating and flimsy making everyday use really time-consuming,ugly heating flimsy
2574,"The battery life of this lamp is moderate, so it's acceptable for regular use.",neutral,0.012,the battery life of this lamp is moderate so it's acceptable for regular use,
2575,"If you need a earbuds, this one is satisfying, reliable, and outstanding; I a reliable option.",positive,0.475,if you need a earbuds this one is satisfying reliable and outstanding; i a reliable option,satisfying reliable reliable
2576,"After a few days of use, this bottle became ugly, heating, and disappointing; I hate now.",negative,-0.544,after a few days of use this bottle became ugly heating and disappointing; i hate now,ugly heating
2577,The watch offers a moderate balance between battery life and price.,neutral,0.037,the watch offers a moderate balance between battery life and price,
2578,"Using this mouse has been incredible, reliable, elegant, and comfortable so far, and it fits perfectly into my home routine.",positive,0.777,using this mouse has been incredible reliable elegant and comfortable so far and it fits perfectly into my home routine,incredible reliable elegant comfortable
2579,"After a few days of use, this speaker became unhappy, disgusting, and inconsistent; I strongly regret now.",negative,-0.929,after a few days of use this speaker became unhappy disgusting and inconsistent; i strongly regret now,unhappy disgusting regret
2580,"Overall, the printer feels decent; nothing too impressive or too bad.",neutral,-0.056,overall the printer feels decent; nothing too impressive or too bad,impressive bad
2581,"This lamp turned out surprisingly cool, responsive, and superb; I'm really glad with it.",positive,0.888,this lamp turned out surprisingly cool responsive and superb; i'm really glad with it,cool responsive
2582,"The overall overall quality of this fan is broken and trash, and that ruined it for me.",negative,-0.862,the overall overall quality of this fan is broken and trash and that ruined it for me,broken trash
2583,"For everyday use, this mic is decent and mostly meets basic expectations.",neutral,-0.057,for everyday use this mic is decent and mostly meets basic expectations,
2584,"As a frequent user, I find this charger elegant and satisfying, which makes my life easier.",positive,0.519,as a frequent user i find this charger elegant and satisfying which makes my life easier,elegant satisfying
2585,"From the first day, this headphones felt fragile and worthless, and it never improved.",negative,-0.404,from the first day this headphones felt fragile and worthless and it never improved,fragile worthless
2586,Nothing special here: the watch works in a fine way for daily use.,neutral,-0.105,nothing special here: the watch works in a fine way for daily use,
2587,"Using this case has been perfect, robust, and amazing so far, and it fits perfectly into my study routine.",positive,0.78,using this case has been perfect robust and amazing so far and it fits perfectly into my study routine,perfect robust amazing
2588,This headphones was a ugly and trash purchase; I honestly am disappointed about buying it.,negative,-0.845,this headphones was a ugly and trash purchase; i honestly am disappointed about buying it,ugly trash
2589,"In short, this fan is fine; a typical, ordinary option.",neutral,0.074,in short this fan is fine; a typical ordinary option,
2590,"From unboxing to daily use, this backpack feels high-quality and cool; think it offers great value.",positive,0.384,from unboxing to daily use this backpack feels high-quality and cool; think it offers great value,high-quality great
2591,"For the cost, this watch feels confusing, dissatisfied, and fragile; it's simply not acceptable.",negative,-0.365,for the cost this watch feels confusing dissatisfied and fragile; it's simply not acceptable,confusing dissatisfied
2592,"From what I've seen, this monitor performs in a moderate manner without major issues.",neutral,-0.103,from what i've seen this monitor performs in a moderate manner without major issues,
2593,"Using this printer has been premium and high-quality so far, and it fits perfectly into my daily routine.",positive,0.361,using this printer has been premium and high-quality so far and it fits perfectly into my daily routine,premium high-quality
2594,"My experience with this fan has been heating, pathetic, and defective, and I can't recommend it.",negative,-0.36,my experience with this fan has been heating pathetic and defective and i can't recommend it,heating pathetic defective recommend
2595,My experience with this charger has been okay; it's fine for simple tasks.,neutral,0.016,my experience with this charger has been okay; it's fine for simple tasks,
2596,"From unboxing to daily use, this camera feels robust, valuable, happy, and cool; recommend it to friends.",positive,0.747,from unboxing to daily use this camera feels robust valuable happy and cool; recommend it to friends,robust valuable happy recommend
2597,"For the cost, this camera feels confusing, mediocre, and unacceptable; it's simply not acceptable.",negative,-0.938,for the cost this camera feels confusing mediocre and unacceptable; it's simply not acceptable,confusing mediocre
2598,"The performance of this mic is average, so it's acceptable for regular use.",neutral,-0.085,the performance of this mic is average so it's acceptable for regular use,
2599,"Honestly, I'm quite pleased with this fan – wonderful, beautiful, solid, and recommend, and a joy to use every day.",positive,0.803,honestly i'm quite pleased with this fan – wonderful beautiful solid and recommend and a joy to use every day,pleased wonderful beautiful solid recommend
2600,"My experience with this power bank has been inconsistent, frustrating, unhappy, and terrible, and I wish I had returned it.",negative,-0.667,my experience with this power bank has been inconsistent frustrating unhappy and terrible and i wish i had returned it,inconsistent frustrating unhappy terrible
2601,"Overall, the laptop feels moderate; nothing too impressive or too bad.",neutral,0.111,overall the laptop feels moderate; nothing too impressive or too bad,impressive bad
2602,"In short, the lamp's build quality is impressive, terrific, and powerful, and that alone makes it a reliable option.",positive,0.824,in short the lamp's build quality is impressive terrific and powerful and that alone makes it a reliable option,impressive terrific powerful reliable
2603,"For the cost, this camera feels cheap and crashed; it's simply not acceptable.",negative,-0.905,for the cost this camera feels cheap and crashed; it's simply not acceptable,cheap
2604,My experience with this headphones has been moderate; it's fine for simple tasks.,neutral,0.097,my experience with this headphones has been moderate; it's fine for simple tasks,
2605,"From unboxing to daily use, this lamp feels satisfying, affordable, solid, and convenient; think it offers great value.",positive,0.792,from unboxing to daily use this lamp feels satisfying affordable solid and convenient; think it offers great value,satisfying affordable solid great
2606,"If you're thinking of buying this bottle, it's cheap, pathetic, and buggy; I would am considering replacing it.",negative,-0.465,if you're thinking of buying this bottle it's cheap pathetic and buggy; i would am considering replacing it,cheap pathetic
2607,The monitor offers a average balance between overall quality and reliability.,neutral,-0.039,the monitor offers a average balance between overall quality and reliability,
2608,"As a frequent user, I find this monitor superb, efficient, and awesome, which makes my life less stressful.",positive,0.495,as a frequent user i find this monitor superb efficient and awesome which makes my life less stressful,superb efficient awesome
2609,"After a few days of use, this keyboard became confusing, heating, and broken; I strongly regret now.",negative,-0.441,after a few days of use this keyboard became confusing heating and broken; i strongly regret now,confusing heating regret
2610,"In short, this backpack is average; a typical, ordinary option.",neutral,-0.021,in short this backpack is average; a typical ordinary option,
2611,"In short, the backpack's battery life is handy and efficient, and that alone makes it a reliable option.",positive,0.423,in short the backpack's battery life is handy and efficient and that alone makes it a reliable option,handy efficient reliable
2612,"In summary, the camera's display is noisy and draining, making it a terrible choice.",negative,-0.934,in summary the camera's display is noisy and draining making it a terrible choice,noisy draining terrible
2613,"The sound of this power bank is average, so it's acceptable for regular use.",neutral,-0.08,the sound of this power bank is average so it's acceptable for regular use,
2614,"For the price, this earbuds is stable, happy, and wonderful; I'd gladly buy it again.",positive,0.912,for the price this earbuds is stable happy and wonderful; i'd gladly buy it again,stable happy
2615,This mic was a misleading and horrible purchase; I honestly am disappointed about buying it.,negative,-0.633,this mic was a misleading and horrible purchase; i honestly am disappointed about buying it,misleading horrible
2616,The phone offers a okay balance between build quality and usability.,neutral,-0.098,the phone offers a okay balance between build quality and usability,
2617,"Using this router has been efficient, fantastic, and worthwhile so far, and it fits perfectly into my home routine.",positive,0.497,using this router has been efficient fantastic and worthwhile so far and it fits perfectly into my home routine,efficient fantastic worthwhile
2618,"If you're thinking of buying this speaker, it's useless, slow, and unacceptable; I would suggest avoiding it.",negative,-0.939,if you're thinking of buying this speaker it's useless slow and unacceptable; i would suggest avoiding it,useless slow
2619,"The battery life of this monitor is fine, so it's acceptable for regular use.",neutral,0.019,the battery life of this monitor is fine so it's acceptable for regular use,
2620,"Honestly, I'm really glad with this watch – brilliant and amazing, and a joy to use every day.",positive,0.79,honestly i'm really glad with this watch – brilliant and amazing and a joy to use every day,brilliant amazing
2621,"I found the power bank to be disgusting, unreliable, and complicated, making everyday use really stressful.",negative,-0.977,i found the power bank to be disgusting unreliable and complicated making everyday use really stressful,disgusting unreliable complicated
2622,"In short, this lamp is decent; a typical, ordinary option.",neutral,0.008,in short this lamp is decent; a typical ordinary option,
2623,"As a frequent user, I find this camera delightful and worthwhile, which makes my life easier.",positive,0.407,as a frequent user i find this camera delightful and worthwhile which makes my life easier,delightful worthwhile
2624,"If you're thinking of buying this router, it's hateful, glitchy, unhappy, and defective; I would would not buy again.",negative,-0.907,if you're thinking of buying this router it's hateful glitchy unhappy and defective; i would would not buy again,hateful glitchy unhappy
2625,The watch offers a moderate balance between build quality and usability.,neutral,0.08,the watch offers a moderate balance between build quality and usability,
2626,"For the price, this monitor is stellar, awesome, durable, and flawless; I'd gladly buy it again.",positive,0.632,for the price this monitor is stellar awesome durable and flawless; i'd gladly buy it again,stellar awesome durable
2627,"The overall sound of this phone is disgusting, useless, and frustrating, and that ruined it for me.",negative,-0.544,the overall sound of this phone is disgusting useless and frustrating and that ruined it for me,disgusting useless frustrating
2628,"If you just need a standard backpack, this one is moderate and fairly straightforward.",neutral,-0.116,if you just need a standard backpack this one is moderate and fairly straightforward,
2629,"If you need a headphones, this one is affordable, flawless, and powerful; I a great deal.",positive,0.577,if you need a headphones this one is affordable flawless and powerful; i a great deal,affordable flawless great
2630,"I found the keyboard to be worthless and poor, making everyday use really stressful.",negative,-0.728,i found the keyboard to be worthless and poor making everyday use really stressful,worthless poor
2631,The router offers a decent balance between design and durability.,neutral,0.038,the router offers a decent balance between design and durability,
2632,This fan turned out consistently fast and incredible; I'm very happy with it.,positive,0.45,this fan turned out consistently fast and incredible; i'm very happy with it,fast happy
2633,"This watch was a frustrating, poor, and ridiculous purchase; I honestly am disappointed about buying it.",negative,-0.604,this watch was a frustrating poor and ridiculous purchase; i honestly am disappointed about buying it,frustrating poor ridiculous
2634,Nothing special here: the earbuds works in a decent way for daily use.,neutral,-0.091,nothing special here: the earbuds works in a decent way for daily use,
2635,"If you need a earbuds, this one is valuable, affordable, and convenient; I worth it.",positive,0.421,if you need a earbuds this one is valuable affordable and convenient; i worth it,valuable affordable
2636,"I found the speaker to be horrible and trash, making everyday use really stressful.",negative,-0.651,i found the speaker to be horrible and trash making everyday use really stressful,horrible trash
2637,The cable offers a average balance between design and usability.,neutral,0.083,the cable offers a average balance between design and usability,
2638,"I didn't expect much, but this laptop is love, responsive, convenient, and awesome, so I plan to stick with this brand.",positive,0.763,i didn't expect much but this laptop is love responsive convenient and awesome so i plan to stick with this brand,love responsive convenient awesome
2639,"The adapter has been pathetic and fragile in almost every way, which is extremely frustrating.",negative,-0.498,the adapter has been pathetic and fragile in almost every way which is extremely frustrating,pathetic fragile frustrating
2640,"In short, this lamp is moderate; a typical, ordinary option.",neutral,0.065,in short this lamp is moderate; a typical ordinary option,
2641,"This bottle turned out consistently affordable, elegant, efficient, and happy; I'm really glad with it.",positive,0.75,this bottle turned out consistently affordable elegant efficient and happy; i'm really glad with it,affordable elegant efficient
2642,"After a few days of use, this backpack became glitchy, cheap, horrible, and flimsy; I am not happy with now.",negative,-0.522,after a few days of use this backpack became glitchy cheap horrible and flimsy; i am not happy with now,glitchy cheap horrible happy
2643,"From what I've seen, this camera performs in a fine manner without major issues.",neutral,0.105,from what i've seen this camera performs in a fine manner without major issues,
2644,"As a frequent user, I find this fan fantabulous and wonderful, which makes my life easier.",positive,0.52,as a frequent user i find this fan fantabulous and wonderful which makes my life easier,fantabulous wonderful
2645,"The overall display of this tablet is slow and regret, and that ruined it for me.",negative,-0.813,the overall display of this tablet is slow and regret and that ruined it for me,slow regret
2646,"The sound of this laptop is fine, so it's acceptable for regular use.",neutral,-0.103,the sound of this laptop is fine so it's acceptable for regular use,
2647,"If you need a bottle, this one is powerful, cool, outstanding, and fantastic; I a solid pick.",positive,0.428,if you need a bottle this one is powerful cool outstanding and fantastic; i a solid pick,powerful cool outstanding solid
2648,"For the cost, this tablet feels broken, pathetic, and unacceptable; it's simply not acceptable.",negative,-0.459,for the cost this tablet feels broken pathetic and unacceptable; it's simply not acceptable,broken pathetic
2649,"If you just need a standard tablet, this one is average and fairly straightforward.",neutral,-0.113,if you just need a standard tablet this one is average and fairly straightforward,
2650,"In short, the case's overall quality is flawless, superb, efficient, and handy, and that alone makes it a reliable option.",positive,0.967,in short the case's overall quality is flawless superb efficient and handy and that alone makes it a reliable option,flawless superb efficient handy reliable
2651,"The overall display of this adapter is dissatisfied, uncomfortable, and unhappy, and that ruined it for me.",negative,-0.66,the overall display of this adapter is dissatisfied uncomfortable and unhappy and that ruined it for me,dissatisfied uncomfortable unhappy
2652,The adapter offers a okay balance between sound and features.,neutral,0.103,the adapter offers a okay balance between sound and features,
2653,"Honestly, I'm quite pleased with this backpack – awesome, great, powerful, and outstanding, and a joy to use every day.",positive,0.982,honestly i'm quite pleased with this backpack – awesome great powerful and outstanding and a joy to use every day,pleased awesome great powerful outstanding
2654,"If you're thinking of buying this charger, it's horrible, annoying, weak, and broken; I would am considering replacing it.",negative,-0.632,if you're thinking of buying this charger it's horrible annoying weak and broken; i would am considering replacing it,horrible annoying weak
2655,My experience with this lamp has been moderate; it's fine for simple tasks.,neutral,-0.02,my experience with this lamp has been moderate; it's fine for simple tasks,
2656,"This speaker turned out consistently satisfying, reliable, and superb; I'm really glad with it.",positive,0.665,this speaker turned out consistently satisfying reliable and superb; i'm really glad with it,satisfying reliable
2657,"The overall display of this camera is weak, fake, pathetic, and buggy, and that ruined it for me.",negative,-0.629,the overall display of this camera is weak fake pathetic and buggy and that ruined it for me,weak fake pathetic buggy
